Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-12-31,20.7862,21.0152,20.7862,21.0152,6212.4913401311
1999-01-04,21.2392,21.6958,21.2392,21.3792,17569.666344338
1999-01-05,21.6958,22.3815,21.6958,21.925,79792.900366786
1999-01-06,22.3815,25.122,22.3815,25.122,145139.52900485
1999-01-07,24.5761,25.4901,23.8904,24.4407,138306.24583592
1999-01-08,24.347,24.347,23.8904,24.1187,98209.724621142
1999-01-11,23.9823,23.9823,23.2965,23.5257,38582.840954499
1999-01-12,23.2965,23.2965,22.6108,22.6108,77749.889320629
1999-01-13,22.839,22.839,21.2392,21.6958,76999.90876871
1999-01-14,21.925,23.2965,21.925,22.839,123961.72451743
1999-01-15,22.839,23.0682,22.3815,23.0682,84692.925741059
1999-01-18,24.6688,25.122,24.6688,24.6688,125750.9311695
1999-01-19,24.6688,25.122,24.6688,24.8971,94510.125435153
1999-01-20,25.3493,26.6299,25.3493,26.6299,82288.643575381
1999-01-21,27.8659,28.3242,27.1792,27.8659,102282.02755702
1999-01-22,27.8659,28.3242,27.6376,28.0942,205600.99468811
1999-01-25,28.5516,29.6904,28.5516,29.6004,112139.24145739
1999-01-26,29.9187,29.9187,29.2321,29.4622,92931.2791818
1999-01-27,29.6004,29.6004,28.5516,29.1446,26692.9053753
1999-01-28,28.5516,29.6904,28.5516,29.4622,78459.855666272
1999-01-29,29.6904,29.6904,29.4622,29.4622,58482.477367145
1999-02-01,29.6904,30.1487,29.2321,29.9187,49266.63403023
1999-02-02,29.9187,29.9187,29.2321,29.2321,63214.443075059
1999-02-03,27.5432,28.9163,27.5432,28.5516,45083.434579818
1999-02-04,28.5516,29.0047,28.5516,28.7799,45047.993425688
1999-02-05,27.8659,27.8659,27.4092,27.4092,66670.527234282
1999-02-08,27.4092,27.6376,26.9509,27.4092,26991.297027817
1999-02-09,27.1792,27.1792,26.1777,26.4935,37960.905862664
1999-02-10,25.122,25.3493,24.4407,25.3493,175210.77665289
1999-02-11,25.5794,26.7226,25.5794,26.2652,69860.231106009
1999-02-12,26.4935,27.0865,26.4051,26.4935,51550.87357708
1999-02-15,26.2652,27.0865,26.2652,26.9509,15427.19141401
1999-02-16,26.4935,26.6299,26.2652,26.6299,63320.76653745
1999-02-17,26.2652,26.2652,25.8086,26.0369,48716.724509692
1999-02-18,26.2652,26.2652,25.8086,25.8086,47691.217565986
1999-02-19,26.2652,26.2652,25.5794,25.7194,64427.445156745
1999-02-22,26.2652,26.2652,25.7194,25.8086,23913.632933663
1999-02-23,26.2652,26.2652,25.5794,25.7194,26667.753588498
1999-02-24,25.122,28.0942,24.8035,24.8971,58005.736680941
1999-02-25,24.4407,24.4407,22.839,22.9745,151746.44609256
1999-02-26,23.0682,23.9823,23.0682,23.7547,176875.36763398
1999-03-01,23.7547,23.7547,23.2965,23.5257,93381.724818166
1999-03-02,23.9823,24.8971,23.9823,24.8971,121061.26619393
1999-03-03,24.8035,24.8035,24.4407,24.5761,65691.894075071
1999-03-04,24.5761,24.5761,23.9823,23.9823,71117.820446117
1999-03-05,24.2114,24.2114,23.7547,24.2114,56546.933046416
1999-03-08,24.2114,24.5761,23.7547,24.4407,102056.80473883
1999-03-09,24.6688,25.2619,24.6688,24.8035,220754.9462364
1999-03-10,25.3493,25.5794,25.122,25.3493,137296.74457472
1999-03-11,26.1777,26.1777,25.3493,25.8086,85598.390065936
1999-03-12,26.7226,26.7226,26.2652,26.4935,113040.13273012
1999-03-15,26.9509,27.1792,26.6299,26.8582,139672.44516449
1999-03-16,27.1792,27.4092,26.8582,27.4092,48010.187953159
1999-03-17,27.1792,27.4092,27.0865,27.0865,57779.370599722
1999-03-18,26.9509,26.9509,26.4935,26.4935,47063.566158969
1999-03-19,26.4935,27.3148,26.4935,27.3148,28432.951716795
1999-03-22,27.6376,29.0047,27.6376,28.3242,41930.315125258
1999-03-23,28.7799,28.7799,27.6376,27.8659,37668.23052533
1999-03-24,26.9509,28.0942,26.9509,27.8659,33124.903218432
1999-03-25,27.4092,27.4092,27.1792,27.4092,26624.309593113
1999-03-26,28.0942,28.0942,27.1792,27.1792,26106.411437596
1999-03-29,26.2652,27.1792,26.2652,27.1792,39761.54514509
1999-03-30,27.4092,27.4092,26.8582,26.8582,45990.042167732
1999-03-31,26.6299,27.1792,26.6299,27.1792,22086.698601397
1999-04-01,26.7226,27.5432,26.7226,27.3148,22096.987968726
1999-04-06,27.6376,28.0005,27.5432,27.6376,30788.073571905
1999-04-07,27.8659,27.8659,27.4092,27.7722,54605.672410505
1999-04-08,27.8659,27.8659,27.5432,27.5432,92549.429327622
1999-04-09,27.8659,27.8659,27.4092,27.8659,43417.700335694
1999-04-12,27.8659,27.8659,27.1792,27.3148,21321.855630005
1999-04-13,27.6376,27.6376,27.0865,27.1792,62405.012845244
1999-04-14,27.1792,27.8659,27.1792,27.1792,18786.098215133
1999-04-15,27.1792,27.1792,26.9509,26.9509,21441.898248833
1999-04-16,27.1792,27.5432,27.1792,27.4092,17390.174047614
1999-04-19,27.8659,28.5516,27.8659,28.5516,22741.78832129
1999-04-20,27.4092,27.5432,27.4092,27.4092,50965.522902412
1999-04-21,28.0942,28.3242,28.0005,28.3242,25154.073328223
1999-04-22,28.3242,28.5516,28.3242,28.4589,52822.182073625
1999-04-23,28.5516,28.7799,28.4589,28.4589,56588.090515729
1999-04-26,28.3242,28.3242,28.2297,28.2297,45578.467474606
1999-04-27,28.5516,29.0047,28.5516,28.5516,61460.677577127
1999-04-28,28.3242,28.3242,27.6376,27.8659,8841.9963239923
1999-04-29,27.6376,27.8659,27.6376,27.8659,66890.033737282
1999-04-30,27.7722,28.0942,27.7722,28.0005,21018.890925342
1999-05-04,28.0942,28.2297,28.0942,28.0942,17777.740216974
1999-05-05,27.6376,27.8659,27.5432,27.8659,25491.335923979
1999-05-06,28.0942,28.0942,27.6376,27.6376,49259.774452011
1999-05-07,27.5432,27.6376,27.5432,27.6376,57083.123410517
1999-05-10,26.9509,29.2321,26.8582,26.8582,38271.873408581
1999-05-11,27.4092,27.4092,27.1792,27.4092,36272.30635781
1999-05-12,26.9509,27.1792,26.9509,26.9509,68674.667337199
1999-05-13,26.7226,26.7226,26.4935,26.7226,57527.8527317
1999-05-14,26.9509,26.9509,26.1777,26.4935,66257.809278119
1999-05-17,26.2652,26.4051,26.2652,26.4051,43219.915830386
1999-05-18,26.4935,26.4935,26.2652,26.2652,37264.658673459
1999-05-19,26.7226,27.1792,26.7226,27.1792,69502.389775597
1999-05-20,26.4935,26.7226,26.4935,26.6299,104089.52641766
1999-05-21,26.2652,26.9509,26.2652,26.8582,79600.83217666
1999-05-24,26.7226,26.7226,26.7226,26.7226,12858.279371081
1999-05-25,26.4051,26.4935,26.1777,26.4051,18683.204541852
1999-05-26,26.4051,26.7226,26.4051,26.6299,13227.553331858
1999-05-27,26.7226,26.9509,26.7226,26.9509,15300.289216963
1999-05-28,26.4935,26.7226,26.4051,26.7226,8118.3108219123
1999-05-31,26.2652,26.4935,26.2652,26.4935,8290.9435404179
1999-06-01,26.4935,26.9509,26.4935,26.8582,9149.5340808004
1999-06-02,26.9509,26.9509,26.7226,26.7226,5716.3151823069
1999-06-07,27.4092,27.4092,26.9509,26.9509,30509.117391008
1999-06-08,27.4092,27.4092,26.7226,26.9509,10049.282090496
1999-06-09,26.9509,26.9509,26.8582,26.8582,8774.5438048411
1999-06-10,26.9509,27.4092,25.7194,26.7226,17567.379818266
1999-06-11,27.1792,27.5432,27.1792,27.4092,84937.584030862
1999-06-14,27.4092,27.4092,27.0865,27.0865,23568.367496651
1999-06-15,26.9509,26.9509,26.4935,26.4935,6212.4913401311
1999-06-16,27.4092,28.3242,27.1792,28.3242,87050.334122242
1999-06-17,28.5516,29.4622,28.5516,28.7799,108591.69625525
1999-06-18,29.8313,30.3762,29.6904,30.3762,112525.66436371
1999-06-21,31.5194,31.9778,30.8346,31.7486,144059.14543539
1999-06-22,31.9778,31.9778,31.2911,31.2911,109007.84400052
1999-06-23,31.2911,31.7486,31.0628,31.5194,193716.77542409
1999-06-24,31.4267,31.4267,31.1975,31.4267,25474.186978432
1999-06-25,31.9778,31.9778,31.5194,31.5194,113160.17534895
1999-06-28,32.5699,32.5699,32.1124,32.1124,70834.291213074
1999-06-29,31.9778,31.9778,31.1975,31.655,52556.945049166
1999-06-30,31.0628,31.655,30.8346,30.8346,16837.978001003
1999-07-01,31.7486,31.7486,31.2911,31.2911,69107.964028018
1999-07-02,31.7486,31.9778,31.655,31.9778,76875.293097736
1999-07-05,31.0628,31.4267,31.0628,31.4267,4185.4859764851
1999-07-06,31.2911,31.2911,31.2911,31.2911,27105.623331463
1999-07-07,31.7486,31.9778,31.7486,31.9778,26554.570547888
1999-07-08,31.9778,32.2069,31.9778,32.2069,22445.683194846
1999-07-09,31.9778,32.6592,31.9778,32.2069,21384.73509701
1999-07-12,31.9778,31.9778,31.7486,31.9778,84863.271933492
1999-07-13,31.7486,31.7486,31.5194,31.5194,55815.244703081
1999-07-14,31.7486,31.7486,31.7486,31.7486,60015.59309904
1999-07-15,31.5194,31.7486,31.5194,31.7486,2522.0382584338
1999-07-16,31.7486,31.7486,31.2911,31.7486,26674.613166717
1999-07-19,31.7486,31.7486,31.5194,31.5194,55954.722793529
1999-07-20,31.5194,31.5194,31.5194,31.5194,7927.3858948232
1999-07-21,31.2911,31.7486,31.2911,31.655,49948.018799961
1999-07-22,31.5194,31.9778,31.5194,31.9778,25247.820897213
1999-07-23,31.9778,31.9778,31.655,31.8834,21559.654341589
1999-07-26,31.5194,31.7486,31.5194,31.7486,14997.3245123
1999-07-27,31.655,31.9778,31.655,31.9778,46617.693574749
1999-07-28,31.655,31.8834,31.655,31.7486,104547.97489528
1999-07-29,31.5194,31.5194,31.5194,31.5194,22828.676312061
1999-07-30,30.9693,31.0628,30.9693,30.9693,23304.273735229
1999-08-02,30.9693,30.9693,30.9693,30.9693,5698.0229737235
1999-08-03,30.8346,30.8346,30.741,30.741,7176.2620798681
1999-08-04,30.3762,30.3762,29.6904,29.6904,19394.314150531
1999-08-05,29.4622,29.4622,29.0047,29.4622,32278.888571451
1999-08-06,29.4622,29.4622,29.0047,29.0047,7911.3802123128
1999-08-09,29.0047,29.0047,28.0942,28.0942,16835.69147493
1999-08-10,28.3242,28.3242,27.1792,27.4092,14202.75670196
1999-08-11,27.3148,27.8659,27.3148,27.6376,13014.906407076
1999-08-12,27.8659,28.0942,27.6376,27.6376,43834.991344002
1999-08-13,27.1792,27.4092,26.9509,27.4092,56639.53735237
1999-08-16,27.4092,28.2297,27.4092,28.2297,50097.786257738
1999-08-17,26.0369,26.7226,25.5794,26.7226,121163.01660418
1999-08-18,26.2652,26.7226,26.2652,26.4935,60680.972186261
1999-08-19,26.6299,26.8582,26.6299,26.8582,22726.925901816
1999-08-20,26.8582,27.1792,26.4051,26.4051,43551.46211096
1999-08-23,26.8582,26.8582,26.6299,26.8582,12267.212381231
1999-08-24,27.1792,27.6376,27.1792,27.3148,45001.119641193
1999-08-25,27.4092,27.6376,27.3148,27.3148,147429.48486688
1999-08-26,27.4092,27.4092,26.7226,27.1792,80545.167444777
1999-08-27,27.1792,27.1792,26.9509,26.9509,49893.142174211
1999-08-30,27.1792,27.8659,27.1792,27.5432,19390.884361421
1999-08-31,26.7226,26.8582,26.4051,26.8582,29482.467184266
1999-09-01,27.1792,27.5432,27.1792,27.5432,13706.580544135
1999-09-02,27.4092,27.4092,26.8582,26.8582,25963.503558038
1999-09-03,27.0865,27.5432,26.9509,27.5432,21228.108061015
1999-09-06,27.5432,27.5432,27.1792,27.1792,56473.764212083
1999-09-07,27.4092,27.4092,27.0865,27.0865,18891.278414488
1999-09-08,26.9509,26.9509,26.4051,26.4935,27710.409477751
1999-09-09,26.7226,26.7226,26.2652,26.2652,14041.556613819
1999-09-10,26.4935,26.6299,26.4935,26.6299,2690.0979247936
1999-09-13,26.8582,26.8582,26.2652,26.4051,22957.865035181
1999-09-14,26.2652,26.2652,25.5794,25.5794,86777.094256528
1999-09-15,25.2619,25.2619,24.4407,24.8971,108903.8070642
1999-09-16,24.6688,25.3493,24.6688,24.8035,21545.935185151
1999-09-17,25.122,25.7194,25.122,25.4901,25123.205226239
1999-09-20,25.5794,25.5794,24.6688,24.8971,22379.373938732
1999-09-21,24.8971,24.8971,24.5761,24.6688,55791.236179315
1999-09-22,24.6688,24.6688,24.2114,24.4407,55192.16634821
1999-09-23,24.4407,25.3493,24.4407,25.3493,18334.509315731
1999-09-24,24.2114,24.2114,23.2965,23.4321,41364.399922209
1999-09-27,22.9745,23.2965,22.9745,23.2046,58696.267554964
1999-09-28,23.2965,23.2965,22.7936,22.839,40740.178304301
1999-09-29,22.7462,22.7462,22.2932,22.5206,25931.492193017
1999-09-30,22.2932,22.6108,22.2932,22.3815,56310.277597869
1999-10-01,23.0682,23.2046,22.9745,23.0682,46541.094951306
1999-10-04,23.5257,25.122,23.5257,24.8971,10984.471254321
1999-10-05,25.5794,26.0369,25.5794,25.8086,41644.499366142
1999-10-06,25.122,25.5794,25.122,25.5794,23959.363455121
1999-10-07,26.0369,26.0369,25.5794,25.5794,33023.152808187
1999-10-08,25.122,25.5794,25.122,25.4901,8758.5381223306
1999-10-11,25.4901,25.8086,25.4901,25.4901,55715.780818909
1999-10-12,25.4901,25.7194,25.4901,25.5794,97782.144245505
1999-10-13,25.122,25.4901,25.122,25.3493,38076.375429346
1999-10-14,25.3493,25.8086,25.3493,25.7194,12035.129984829
1999-10-15,25.7194,25.7194,24.8035,25.0319,15534.658139437
1999-10-18,24.8971,25.2619,24.8971,24.8971,24915.131353603
1999-10-19,24.8971,25.8086,24.8971,25.8086,9577.114456437
1999-10-20,25.8086,26.8582,25.8086,26.8582,53478.415056554
1999-10-21,27.4092,27.4092,26.4051,26.6299,18203.034066538
1999-10-22,26.9509,27.1792,26.9509,26.9509,18255.624166215
1999-10-25,26.9509,26.9509,26.4935,26.6299,4465.5854204182
1999-10-26,26.4935,26.8582,26.4935,26.7226,6657.2206613146
1999-10-27,26.0369,26.0369,26.0369,26.0369,46059.781212956
1999-10-28,26.4935,26.9509,26.4935,26.9509,29994.649024601
1999-10-29,27.1792,27.1792,27.0865,27.1792,15395.180048989
1999-11-02,26.9509,26.9509,26.9509,26.9509,5037.2169386488
1999-11-03,26.7226,26.7226,26.4935,26.7226,4214.0675523966
1999-11-04,26.2652,26.2652,25.8086,25.8086,25340.425203166
1999-11-05,25.4901,26.0369,25.3493,26.0369,24621.312753232
1999-11-08,25.5794,25.5794,24.6688,25.4901,47535.733793028
1999-11-09,26.0369,26.2652,26.0369,26.1777,71512.246193696
1999-11-10,26.0369,26.6299,26.0369,26.4935,8767.6842266223
1999-11-15,26.6299,26.9509,26.6299,26.9509,14566.314347554
1999-11-16,26.7226,27.1792,26.7226,26.8582,51619.469359268
1999-11-17,27.1792,27.1792,26.9509,27.0865,35893.886292741
1999-11-18,26.9509,27.3148,26.9509,27.3148,40574.405164014
1999-11-19,27.4092,28.0942,27.4092,28.0005,27735.561264553
1999-11-22,28.5516,28.6872,28.0942,28.2297,48755.595452932
1999-11-23,28.3242,28.4589,28.0942,28.3242,15651.270969156
1999-11-24,28.3242,28.3242,27.8659,28.2297,27502.335605115
1999-11-25,28.3242,29.1446,28.3242,29.0047,99381.569233515
1999-11-26,29.1446,29.2321,28.7799,28.9163,57142.573088413
1999-11-29,28.5516,28.5516,28.0942,28.0942,52111.072464946
1999-11-30,28.2297,29.1446,28.2297,29.1446,29693.970846011
1999-12-01,29.2321,29.6004,29.1446,29.2321,58833.459119339
1999-12-02,28.9163,28.9163,28.0942,28.7799,22093.558179616
1999-12-03,28.5516,28.5516,28.3242,28.5516,10715.804440753
1999-12-06,28.6872,28.7799,28.4589,28.5516,45809.406607971
1999-12-07,28.5516,29.1446,28.5516,29.1446,84426.545453564
1999-12-08,29.1446,29.9187,29.1446,29.6904,79356.173886857
1999-12-09,29.9187,30.0587,29.3729,29.9187,75434.781671795
1999-12-10,30.1487,30.1487,29.4622,29.9187,55177.303928736
1999-12-13,29.6004,29.6004,29.2321,29.2321,39917.028918049
1999-12-14,29.2321,29.2321,28.7799,29.0047,33937.763237356
1999-12-15,29.0047,29.0047,28.6872,28.7799,57450.110845221
1999-12-16,29.0047,29.2321,29.0047,29.2321,25556.501917058
1999-12-17,29.2321,30.0587,29.2321,29.9187,19339.437524781
1999-12-20,30.1487,30.9693,30.1487,30.9693,48085.643313566
1999-12-21,30.8346,30.9693,30.741,30.9693,57230.60434222
1999-12-22,31.0628,31.7486,31.0628,31.5194,39325.961928199
1999-12-23,31.5194,32.4353,31.5194,32.4353,33585.638222126
1999-12-27,31.9778,32.6592,31.9778,32.1124,36663.30231628
1999-12-28,31.7486,31.7486,31.4267,31.4267,31198.505001995
1999-12-29,31.5194,31.8834,31.5194,31.8834,18078.418395564
